date,"Total: Headline PCEPI, YoY",Energy,Food,Core Goods,Core Services exc. Housing,Housing
3/1/2011,2.11,0.83,0.23,-0.13,1.04,0.15
4/1/2011,2.49,1.05,0.25,-0.01,1.06,0.17
5/1/2011,2.77,1.18,0.28,0.07,1.08,0.18
6/1/2011,2.79,1.13,0.30,0.13,1.06,0.19
7/1/2011,2.88,1.05,0.33,0.19,1.1,0.22
8/1/2011,2.98,1.02,0.37,0.20,1.15,0.26
9/1/2011,3.02,1.04,0.40,0.17,1.17,0.27
10/1/2011,2.69,0.79,0.40,0.22,1.0,0.30
11/1/2011,2.70,0.74,0.38,0.25,1.04,0.30
12/1/2011,2.53,0.44,0.39,0.27,1.13,0.31
1/1/2012,2.57,0.42,0.37,0.26,1.2,0.32
2/1/2012,2.51,0.46,0.31,0.22,1.22,0.32
3/1/2012,2.30,0.28,0.26,0.26,1.18,0.33
4/1/2012,2.00,0.07,0.24,0.19,1.16,0.35
5/1/2012,1.58,-0.19,0.19,0.13,1.09,0.35
6/1/2012,1.55,-0.22,0.19,0.08,1.15,0.35
7/1/2012,1.41,-0.29,0.16,0.06,1.13,0.34
8/1/2012,1.51,-0.02,0.12,0.00,1.09,0.34
9/1/2012,1.68,0.15,0.07,0.03,1.09,0.35
10/1/2012,1.98,0.26,0.08,0.03,1.26,0.35
11/1/2012,1.70,0.06,0.10,-0.01,1.21,0.35
12/1/2012,1.62,0.06,0.10,-0.05,1.17,0.35
1/1/2013,1.47,0.01,0.08,-0.07,1.1,0.34
2/1/2013,1.60,0.16,0.09,-0.08,1.09,0.35
3/1/2013,1.28,-0.09,0.08,-0.16,1.1,0.34
4/1/2013,1.04,-0.24,0.09,-0.16,1.02,0.34
5/1/2013,1.23,-0.05,0.07,-0.18,1.04,0.35
6/1/2013,1.51,0.16,0.08,-0.15,1.07,0.37
7/1/2013,1.60,0.22,0.08,-0.16,1.09,0.36
8/1/2013,1.40,-0.01,0.09,-0.14,1.1,0.37
9/1/2013,1.14,-0.26,0.08,-0.16,1.12,0.37
10/1/2013,0.98,-0.35,0.07,-0.18,1.09,0.36
11/1/2013,1.20,-0.16,0.05,-0.19,1.13,0.38
12/1/2013,1.39,0.01,0.04,-0.19,1.15,0.40
1/1/2014,1.41,0.11,0.04,-0.23,1.09,0.40
2/1/2014,1.09,-0.16,0.06,-0.23,1.03,0.40
3/1/2014,1.39,0.07,0.08,-0.2,1.05,0.42
4/1/2014,1.67,0.22,0.10,-0.18,1.13,0.43
5/1/2014,1.77,0.20,0.16,-0.16,1.15,0.43
6/1/2014,1.65,0.15,0.15,-0.15,1.08,0.43
7/1/2014,1.67,0.11,0.16,-0.14,1.1,0.45
8/1/2014,1.51,-0.01,0.17,-0.16,1.08,0.44
9/1/2014,1.50,-0.05,0.19,-0.14,1.05,0.45
10/1/2014,1.33,-0.14,0.19,-0.13,0.97,0.45
11/1/2014,1.09,-0.36,0.22,-0.18,0.95,0.45
12/1/2014,0.73,-0.67,0.23,-0.18,0.93,0.44
1/1/2015,0.04,-1.22,0.22,-0.22,0.84,0.44
2/1/2015,0.17,-1.14,0.20,-0.17,0.83,0.45
3/1/2015,0.20,-1.04,0.14,-0.13,0.79,0.45
4/1/2015,0.11,-1.11,0.10,-0.11,0.78,0.46
5/1/2015,0.19,-0.94,0.06,-0.11,0.74,0.46
6/1/2015,0.27,-0.87,0.08,-0.16,0.78,0.48
7/1/2015,0.22,-0.87,0.07,-0.19,0.75,0.48
8/1/2015,0.24,-0.88,0.06,-0.18,0.77,0.48
9/1/2015,0.07,-1.02,0.05,-0.17,0.76,0.49
10/1/2015,0.10,-0.98,0.06,-0.21,0.76,0.49
11/1/2015,0.25,-0.81,0.02,-0.17,0.73,0.48
12/1/2015,0.35,-0.67,-0.02,-0.15,0.71,0.49
1/1/2016,0.87,-0.35,-0.02,-0.12,0.86,0.50
2/1/2016,0.64,-0.66,-0.01,-0.12,0.92,0.49
3/1/2016,0.69,-0.58,-0.03,-0.16,0.95,0.49
4/1/2016,0.93,-0.41,-0.01,-0.13,0.98,0.49
5/1/2016,0.85,-0.49,-0.04,-0.17,1.05,0.50
6/1/2016,0.83,-0.46,-0.08,-0.18,1.05,0.50
7/1/2016,0.76,-0.55,-0.1,-0.19,1.09,0.50
8/1/2016,0.89,-0.49,-0.12,-0.13,1.12,0.51
9/1/2016,1.22,-0.14,-0.13,-0.13,1.1,0.52
10/1/2016,1.43,0.00,-0.14,-0.11,1.16,0.53
11/1/2016,1.40,0.02,-0.13,-0.19,1.16,0.55
12/1/2016,1.66,0.22,-0.12,-0.2,1.21,0.56
1/1/2017,2.01,0.48,-0.11,-0.12,1.22,0.56
2/1/2017,2.20,0.65,-0.11,-0.13,1.23,0.55
3/1/2017,1.91,0.48,-0.05,-0.13,1.07,0.55
4/1/2017,1.77,0.37,-0.05,-0.2,1.12,0.54
5/1/2017,1.56,0.21,-0.02,-0.21,1.06,0.53
6/1/2017,1.47,0.09,-0.01,-0.17,1.05,0.52
7/1/2017,1.49,0.15,0.01,-0.14,0.96,0.52
8/1/2017,1.57,0.29,0.02,-0.21,0.95,0.53
9/1/2017,1.76,0.48,0.03,-0.28,1.03,0.52
10/1/2017,1.68,0.28,0.04,-0.22,1.07,0.52
11/1/2017,1.79,0.39,0.05,-0.19,1.06,0.51
12/1/2017,1.77,0.32,0.06,-0.18,1.07,0.51
1/1/2018,1.76,0.25,0.07,-0.16,1.1,0.52
2/1/2018,1.84,0.35,0.05,-0.18,1.14,0.50
3/1/2018,2.00,0.29,0.03,-0.14,1.33,0.51
4/1/2018,2.05,0.36,0.03,-0.08,1.22,0.53
5/1/2018,2.27,0.52,0.01,-0.03,1.26,0.53
6/1/2018,2.27,0.54,0.03,-0.08,1.27,0.52
7/1/2018,2.34,0.55,0.03,-0.1,1.35,0.53
8/1/2018,2.18,0.48,0.03,-0.14,1.31,0.52
9/1/2018,2.01,0.25,0.04,-0.11,1.33,0.51
10/1/2018,2.05,0.38,0.03,-0.12,1.27,0.51
11/1/2018,1.94,0.11,0.05,-0.05,1.31,0.51
12/1/2018,1.86,-0.01,0.07,-0.06,1.35,0.49
1/1/2019,1.50,-0.21,0.06,-0.07,1.2,0.49
2/1/2019,1.43,-0.22,0.11,-0.11,1.14,0.51
3/1/2019,1.51,-0.03,0.11,-0.15,1.05,0.51
4/1/2019,1.58,0.06,0.06,-0.2,1.13,0.52
5/1/2019,1.46,-0.03,0.09,-0.19,1.06,0.52
6/1/2019,1.41,-0.16,0.08,-0.09,1.05,0.53
7/1/2019,1.44,-0.1,0.07,-0.11,1.06,0.52
8/1/2019,1.42,-0.19,0.06,-0.02,1.06,0.52
9/1/2019,1.30,-0.2,0.06,-0.05,0.98,0.53
10/1/2019,1.33,-0.19,0.08,-0.07,1.01,0.51
11/1/2019,1.33,-0.02,0.07,-0.11,0.91,0.50
12/1/2019,1.54,0.18,0.06,-0.11,0.95,0.51
1/1/2020,1.70,0.29,0.07,-0.17,1.04,0.52
2/1/2020,1.64,0.14,0.07,-0.09,1.07,0.51
3/1/2020,1.15,-0.25,0.09,-0.13,0.97,0.50
4/1/2020,0.41,-0.8,0.29,-0.27,0.63,0.47
5/1/2020,0.45,-0.82,0.34,-0.34,0.72,0.47
6/1/2020,0.71,-0.54,0.38,-0.37,0.76,0.44
7/1/2020,0.90,-0.47,0.31,-0.21,0.83,0.43
8/1/2020,1.17,-0.39,0.31,-0.09,0.9,0.41
9/1/2020,1.25,-0.34,0.28,-0.1,1.02,0.38
10/1/2020,1.12,-0.4,0.28,-0.12,0.97,0.38
11/1/2020,1.15,-0.42,0.27,-0.04,0.98,0.35
12/1/2020,1.37,-0.31,0.29,0.02,1.06,0.33
1/1/2021,1.62,-0.18,0.26,0.07,1.19,0.31
2/1/2021,1.89,0.07,0.25,0.00,1.3,0.31
3/1/2021,2.71,0.45,0.29,0.11,1.58,0.33
4/1/2021,3.72,0.72,0.11,0.51,1.9,0.38
5/1/2021,4.16,0.85,0.06,0.85,1.95,0.36
6/1/2021,4.37,0.80,0.08,1.02,2.06,0.38
7/1/2021,4.53,0.80,0.20,0.96,2.17,0.39
8/1/2021,4.64,0.86,0.23,0.94,2.19,0.41
9/1/2021,4.81,0.88,0.33,1.00,2.13,0.46
10/1/2021,5.41,1.03,0.38,1.24,2.24,0.49
11/1/2021,5.99,1.10,0.45,1.33,2.49,0.56
12/1/2021,6.18,1.04,0.46,1.49,2.53,0.60
1/1/2022,6.30,0.99,0.54,1.67,2.43,0.64
2/1/2022,6.55,1.00,0.63,1.79,2.41,0.69
3/1/2022,6.89,1.26,0.72,1.86,2.36,0.69
4/1/2022,6.62,1.20,0.77,1.57,2.35,0.73
5/1/2022,6.69,1.38,0.84,1.38,2.32,0.78
6/1/2022,7.12,1.75,0.87,1.37,2.37,0.84
7/1/2022,6.62,1.36,0.93,1.27,2.2,0.90
8/1/2022,6.52,1.00,0.98,1.30,2.31,0.96
9/1/2022,6.56,0.83,0.94,1.34,2.45,1.03
10/1/2022,6.35,0.77,0.91,1.09,2.53,1.05
11/1/2022,5.93,0.59,0.89,0.91,2.46,1.09
12/1/2022,5.44,0.29,0.88,0.73,2.38,1.15
1/1/2023,5.48,0.37,0.85,0.62,2.48,1.19
2/1/2023,5.19,0.20,0.75,0.52,2.5,1.22
3/1/2023,4.44,-0.37,0.63,0.58,2.38,1.22
4/1/2023,4.45,-0.26,0.55,0.58,2.35,1.23
5/1/2023,3.96,-0.6,0.47,0.57,2.3,1.22
6/1/2023,3.20,-0.91,0.37,0.38,2.16,1.18
7/1/2023,3.31,-0.62,0.29,0.26,2.24,1.16
8/1/2023,3.35,-0.16,0.25,0.11,2.05,1.11
9/1/2023,3.37,0.00,0.22,0.04,2.04,1.07
10/1/2023,2.94,-0.21,0.19,0.07,1.86,1.04
11/1/2023,2.70,-0.23,0.14,0.04,1.74,1.01
12/1/2023,2.62,-0.08,0.11,-0.02,1.66,0.96
1/1/2024,2.48,-0.21,0.11,-0.13,1.79,0.92
2/1/2024,2.50,-0.1,0.11,-0.09,1.7,0.88
3/1/2024,2.72,0.11,0.12,-0.13,1.75,0.88
4/1/2024,2.68,0.13,0.10,-0.13,1.73,0.86
5/1/2024,2.58,0.19,0.10,-0.26,1.7,0.85
6/1/2024,2.47,0.08,0.11,-0.2,1.66,0.82
7/1/2024,2.50,0.08,0.11,-0.12,1.62,0.81
